-11.22;3.48;-1.31;-10.35;4.90;2.50
3.27;4.25;2.72;-2.29;25.92;3.27
3.27;-19.93;-0.54;-2.29;12.96;1.74
29.08;-2.18;0.33;1.74;17.86;4.14
3.27;1.09;-1.31;2.50;17.86;14.59
4.90;-3.81;3.48;3.38;10.56;2.50
2.50;0.22;-0.54;0.11;4.90;-9.58
3.27;-32.78;-0.54;8.17;6.53;-3.92
3.27;-3.81;1.09;10.56;7.30;-3.16
-3.92;-5.34;0.33;5.77;6.53;-7.19
-2.29;-8.60;-1.31;0.11;2.50;-10.35
-4.79;-2.18;0.33;-1.52;-5.55;-24.07
0.87;1.09;1.09;0.98;-6.32;-6.32
12.20;5.12;-0.54;-3.05;-12.85;12.20
3.27;-0.54;0.33;-4.68;0.87;16.99
1.74;0.22;-1.31;-7.08;-3.16;10.56
0.87;-2.18;-2.94;-1.52;10.56;4.14
3.27;0.22;-5.34;3.38;25.05;4.90
1.74;-2.18;-2.07;1.74;26.68;3.27
3.27;2.72;-1.31;-16.77;14.59;0.87
21.02;-3.81;-1.31;16.23;3.27;1.74
-0.76;-0.54;-1.31;9.80;-8.82;3.27
12.20;1.85;-1.31;9.80;-16.01;16.23
4.90;2.72;-2.94;2.50;-17.64;7.30
3.27;5.12;2.72;-0.65;-28.86;5.77
1.74;2.72;0.33;-15.14;-20.91;37.13
3.27;-2.18;-1.31;-18.40;-16.01;0.11
-11.22;1.85;0.33;-20.04;4.90;-11.22
-4.79;-6.97;-0.54;-16.77;-3.92;-10.35
-1.52;-2.94;-1.31;-15.14;-12.85;-11.98
3.27;-6.21;-0.54;-10.35;-18.40;-5.55
-5.55;-2.18;2.72;-0.65;-24.94;-7.19
3.27;1.09;3.48;1.74;-16.01;-2.29
3.27;-2.18;-1.31;5.77;3.27;2.50
1.74;-18.30;-1.31;7.41;7.30;1.74
-2.29;-2.18;-0.54;40.40;10.56;-3.16
-27.33;1.09;-2.94;9.80;13.83;-11.22
-4.79;-21.45;-2.07;9.04;17.86;-3.92
-31.36;0.22;-2.07;6.53;15.35;-11.22
-1.52;-2.18;-1.31;-2.29;5.77;-11.22
0.87;1.09;-1.31;-3.92;0.87;-3.92
3.27;3.48;0.33;-0.65;-2.29;1.74
4.14;1.09;1.96;0.11;8.93;12.96
-2.29;-13.39;6.75;5.01;15.35;17.86
-5.55;-2.94;2.72;2.50;23.41;13.83
4.90;2.72;1.09;0.98;17.86;12.20
1.74;4.25;-1.31;3.38;3.27;-26.46
-1.52;-0.54;-1.31;8.17;-5.55;-11.22
3.27;-15.03;-0.54;0.98;-7.19;-11.98
0.87;-3.81;-2.94;-3.05;-20.04;-10.35
-16.88;-3.81;-1.31;-28.86;-20.91;0.87
5.77;1.09;4.36;-7.08;-21.67;9.80
3.27;1.09;-1.31;-4.68;-17.64;9.80
-11.22;-29.51;0.33;-15.14;-8.82;7.30
-0.76;17.21;-1.31;0.11;4.90;9.80
3.27;1.09;-1.31;23.52;10.56;13.83
0.87;3.48;-1.31;0.11;12.96;3.27
0.87;-5.34;5.99;0.11;4.90;1.74
-5.55;1.85;-2.07;-2.29;4.90;1.74
-3.16;5.12;-1.31;-1.52;-0.76;0.11
3.27;4.25;-2.07;-1.52;-9.58;-5.55
5.77;4.25;-1.31;-3.05;-8.82;-8.82
-5.55;-3.81;0.33;0.98;-7.95;-15.25
-0.76;1.85;-1.31;-0.65;-3.16;-12.85
-4.79;-3.81;-1.31;-1.52;4.90;-12.85
16.99;4.25;-2.07;0.11;-19.28;-7.19
8.17;1.85;0.33;-2.29;3.27;24.28
3.27;-0.54;-6.97;3.38;0.87;-2.29
19.38;-0.54;1.09;0.98;-3.92;1.74
-24.07;3.48;4.36;-3.92;-7.19;10.56
-0.76;-0.54;3.48;10.56;-16.01;9.80
-1.52;-4.57;1.09;-0.65;-4.79;4.14
3.27;3.48;-0.54;-0.65;6.53;7.30
-17.64;0.22;5.99;-0.65;22.65;7.30
1.74;1.85;-1.31;1.74;31.47;4.14
-4.79;0.22;-1.31;3.38;36.37;-5.55
-1.52;-0.54;4.36;1.74;28.31;1.74
-7.95;2.72;-2.07;-3.92;19.38;1.74
3.27;0.22;-5.34;1.74;5.77;3.27
0.87;3.48;-0.54;1.74;-3.92;2.50
3.27;1.09;-0.54;3.38;-20.91;2.50
-8.82;3.48;-1.31;5.77;-25.70;-8.82
0.87;-2.18;-2.07;35.61;-32.13;-6.32
8.93;3.48;1.96;0.11;-12.85;-3.92
5.77;1.09;3.48;-2.29;0.87;-11.22
6.53;3.48;-1.31;-9.58;7.30;-7.19
3.27;-2.94;1.09;-15.14;4.90;3.27
-1.52;-0.54;-1.31;0.11;0.11;1.74
-1.52;-6.97;2.72;-11.11;-11.98;3.27
-5.55;-16.66;0.33;-9.58;-20.91;3.27
-2.29;-2.18;5.99;-11.98;-20.91;0.11
14.59;-2.18;-1.31;-3.92;-22.43;1.74
-3.16;0.22;-1.31;13.83;-11.98;1.74
1.74;-0.54;-0.54;3.38;4.90;1.74
0.87;-3.81;2.72;10.56;10.56;0.11
15.35;1.09;6.75;10.56;20.26;-5.55
-4.79;-4.57;-1.31;3.38;18.62;-9.58
3.27;-3.81;-3.70;2.50;6.53;-7.95
0.87;-2.94;-6.97;-3.92;4.14;1.74
3.27;5.12;17.21;-2.29;-3.16;-1.52
6.53;-2.18;-1.31;-9.58;-3.16;0.11
8.17;4.25;-0.54;2.50;-3.92;-3.92
7.30;5.12;-2.07;12.20;-7.95;-8.82
0.87;3.48;1.09;11.43;-11.98;-2.29
27.44;1.09;1.09;8.17;-9.58;-3.16
-7.19;-0.54;-1.31;-7.08;-2.29;5.77
-8.82;-2.18;-1.31;-11.98;6.53;12.96
